Time(s),Acceleration(m_s2),1_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161210
0,-9.31477,
0.00100059,-9.31477,
0.0020004,-10.4791,
0.00300008,-10.4791,
0.00400059,-10.4791,
0.00500027,-61.7131,
0.00600079,190.983,
0.00700047,-172.381,
0.00800003,351.742,
0.00900083,634.772,
0.0100008,111.244,
0.0110008,283.635,
0.0120007,124.048,
0.0130007,-9.89818,
0.0140004,-20.3765,
0.0150006,-114.091,
0.0160004,-216.52,
0.0170004,6.4016,
0.0180004,-146.085,
0.0190003,-454.538,
0.0200003,-28.5162,
0.0210002,-201.381,
0.0220002,-79.1706,
0.0230002,-238.69,
0.0240001,-107.129,
0.0250001,218.94,
0.026,-146.748,
0.027,313.302,
0.0280008,-47.7496,
0.0290008,529.96,
0.0300007,204.404,
0.0310007,18.6359,
0.0320006,-55.9016,
0.0330006,176.424,
0.0340006,-221.842,
0.0350005,227.649,
0.0360005,10.4792,
0.0370005,-78.5878,
0.0380004,228.193,
0.0390004,-8.73137,
0.0400003,-250.299,
0.0410003,60.5384,
0.0420003,-65.776,
0.0430002,184.509,
0.0440002,-162.398,
0.0450001,324.799,
0.0460001,-41.909,
0.0470001,38.4187,
0.048,55.8788,
0.0490008,-229.923,
0.0500008,147.83,
0.0510007,-368.984,
0.0520007,-214.737,
0.0530007,311.31,
0.0540006,-140.798,
0.0550006,212.342,
0.0560006,558.459,
0.0570005,136.124,
0.0580005,211.205,
0.0590004,-227.583,
0.0600004,130.972,
0.0610004,112.943,
0.0620003,-727.225,
0.0630008,135.708,
0.0640005,658.839,
0.0650005,775.46,
0.0660002,456.787,
0.0670007,1001.04,
0.0680004,-44.8656,
0.0690001,597.3,
0.0700006,152.68,
0.0710003,897.116,
0.072,438.53,
0.0730005,169.572,
0.0740002,104.308,
0.0750008,-189.088,
0.0760004,918.018,
0.0770001,246.915,
0.0780007,140.437,
0.0790003,328.326,
0.08,330.706,
0.0810006,-91.3288,
0.0820002,467.97,
0.0830008,-961.813,
0.0840007,306.122,
0.0850001,-27.2357,
0.0860002,451.184,
0.0870008,-359.116,
0.0880004,-259.366,
0.0890002,-260.834,
0.0900004,-159.459,
0.0910005,93.3452,
0.0920007,760.579,
0.0930001,419.212,
0.0940001,462.102,
0.0950003,523.594,
0.0960008,786.089,
0.0970005,180.891,
0.0980002,470.708,
0.0990005,329.857,
0.1,54.0262,
0.101001,-452.014,
0.102001,-335.252,
0.103,-99.4501,
0.104001,-245.723,
0.105001,-229.421,
0.106,515.221,
0.107,95.9531,
0.108,311.308,
0.109001,-330.703,
0.11,358.511,
0.111,468.482,
0.112,-11.9409,
0.113001,161.345,
0.114001,412.669,
0.115,-679.404,
0.116,-530.848,
0.117001,-615.999,
0.118001,-388.865,
0.119,-122.946,
0.12,-133.205,
0.121,-73.8728,
0.122001,-376.107,
0.123,-492.757,
0.124,488.892,
0.125,317.712,
0.126,-61.4286,
0.127001,-118.926,
0.128,73.6574,
0.129,395.516,
0.130001,-76.8612,
0.131,459.727,
0.132001,-428,
0.133,46.4434,
0.134,-1.45588,
0.135001,-599.119,
0.136,-588.567,
0.137,108.488,
0.138001,-85.0297,
0.139,545.495,
0.140001,-192.915,
0.141,-171.51,
0.142,199.006,
0.143001,-180.672,
0.144,-83.5671,
0.145,-132.635,
0.146001,-602.588,
0.147,200.261,
0.148001,-257.996,
0.149,-376.371,
0.15,54.2895,
0.151001,12.3708,
0.152,168.226,
0.153,164.432,
0.154001,-422.31,
0.155,53.0267,
0.156001,-103.791,
0.157,712.7,
0.158,211.089,
0.159001,-80.7264,
0.16,325.456,
0.161,-51.3942,
0.162001,-272.523,
0.163,178.997,
0.164001,-228.643,
0.165001,316.799,
0.166,-115.309,
0.167001,93.0339,
0.168,-260.963,
0.169,281.227,
0.170001,167.709,
0.171,341.87,
0.172,69.6024,
0.173001,-343.912,
0.174,216.215,
0.175001,236.734,
0.176,-24.7506,
0.177,-343.748,
0.178001,458.924,
0.179,-657.244,
0.18,659.669,
0.181001,-557.593,
0.182,-69.0101,
0.183001,-94.9289,
0.184,174.056,
0.185,-335.415,
0.186001,70.5368,
0.187,-447.526,
0.188,584.336,
0.189001,-152.276,
0.19,123.234,
0.191001,456.524,
0.192,-108.175,
0.193,192.319,
0.194001,-179.223,
0.195,-369.24,
0.196,-206.299,
0.197001,-375.184,
0.198,29.8481,
0.199001,-88.0697,
0.2,369.086,
0.201,356.222,
0.202001,-98.8368,
0.203,-258.083,
0.204,-92.5127,
0.205001,-140.823,
0.206,23.4369,
0.207001,-274.711,
0.208,-148.633,
0.209,52.5914,
0.210001,-110.942,
0.211,475.443,
0.212,-386.239,
0.213001,186.717,
0.214,-61.0692,
0.215001,-56.1244,
0.216001,-12.0476,
0.217,326.013,
0.218001,-7.35243,
0.219,460.509,
0.22,-177.534,
0.221001,-169.297,
0.222,-198.625,
0.223,-95.0566,
0.224001,29.0755,
0.225,-167.727,
0.226001,-90.4969,
0.227,330.205,
0.228,-330.757,
0.229001,263.732,
0.23,-417.848,
0.231,253.517,
0.232001,-446.483,
0.233,398.993,
0.234001,-210.212,
0.235,-81.119,
0.236,232.493,
0.237001,-122.657,
0.238,-85.0611,
0.239,-437.078,
0.240001,-243.132,
0.241,-253.068,
0.242001,-119.445,
0.243,-78.4717,
0.244,100.599,
0.245001,353.481,
0.246,191.478,
0.247,299.305,
0.248001,2.67491,
0.249,-232.326,
0.250001,39.2738,
0.251,-54.1717,
0.252,256.471,
0.253001,-311.979,
0.254,335.357,
0.255,-240.276,
0.256001,35.5405,
0.257,-38.7315,
0.258001,-424.447,
0.259001,-47.3174,
0.26,203.182,
0.261001,-429.281,
0.262,202.08,
0.263,237.017,
0.264001,357.568,
0.265,328.386,
0.266,14.9595,
0.267001,-230.904,
0.268,101.627,
0.269001,-161.118,
0.27,-11.9647,
0.271,-236.571,
0.272001,-188.992,
0.273,29.8452,
0.274,-304.83,
0.275001,95.0831,
0.276,-218.104,
0.277001,162.109,
0.278,208.191,
0.279,-159.354,
0.280001,223.647,
0.281,-157.315,
0.282,457.908,
0.283001,106.809,
0.284,16.4968,
0.285001,-96.946,
0.286,-15.8689,
0.287,-101.581,
0.288001,-160.286,
0.289,-398.322,
0.29,57.0631,
0.291001,-262.479,
0.292,162.891,
0.293001,-312.716,
0.294,164.952,
0.295,-12.0833,
0.296001,518.309,
0.297,302.503,
0.298,-98.314,
0.299001,-3.16682,
0.3,173.801,
Time(s),Acceleration(m_s2),2_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161141
0,-9.31477,
0.00100059,-9.31477,
0.0020004,-9.31477,
0.00300008,-9.31479,
0.00400059,-9.31479,
0.00500027,1.1644,
0.00600079,137.415,
0.00700047,-72.2138,
0.00800003,347.083,
0.00900083,476.37,
0.0100008,348.294,
0.0110008,499.128,
0.0120007,411.165,
0.0130007,169.434,
0.0140004,96.0605,
0.0150006,-215.376,
0.0160004,-334.093,
0.0170004,-366.055,
0.0180004,-444.075,
0.0190003,-436.496,
0.0200003,-239.769,
0.0210002,-353.871,
0.0220002,61.7065,
0.0230002,48.9024,
0.0240001,135.075,
0.0250001,289.979,
0.026,-152.571,
0.027,349.407,
0.0280008,44.2557,
0.0290008,191.019,
0.0300007,170.045,
0.0310007,158.988,
0.0320006,232.923,
0.0330006,149.64,
0.0340006,222.424,
0.0350005,28.5289,
0.0360005,-145.545,
0.0370005,45.9884,
0.0380004,-121.082,
0.0390004,105.359,
0.0400003,-199.075,
0.0410003,-151.928,
0.0420003,123.985,
0.0430002,42.4895,
0.0440002,78.5797,
0.0450001,-329.456,
0.0460001,344.003,
0.0470001,190.347,
0.048,-35.5063,
0.0490008,327.13,
0.0500008,79.1531,
0.0510007,-18.6238,
0.0520007,-115.224,
0.0530007,0.581888,
0.0540006,-477.084,
0.0550006,173.364,
0.0560006,-127.98,
0.0570005,515.992,
0.0580005,-15.7094,
0.0590004,537.818,
0.0600004,207.227,
0.0610004,770.222,
0.0620003,-327.804,
0.0630008,160.753,
0.0640005,-514.955,
0.0650005,-478.909,
0.0660002,155.564,
0.0670007,-121.197,
0.0680004,922.948,
0.0690001,301.855,
0.0700006,202.213,
0.0710003,596.718,
0.072,809.459,
0.0730005,172.777,
0.0740002,743.267,
0.0750008,-71.0903,
0.0760004,643.283,
0.0770001,-42.8277,
0.0780007,-30.5932,
0.0790003,661.167,
0.08,427.347,
0.0810006,521.608,
0.0820002,172.885,
0.0830008,218.786,
0.0840007,281.601,
0.0850001,-302.642,
0.0860002,167.874,
0.0870008,282.261,
0.0880004,320.385,
0.0890002,128.123,
0.0900004,-312.874,
0.0910005,-40.9933,
0.0920007,69.6069,
0.0930001,-43.6179,
0.0940001,314.161,
0.0950003,-302.141,
0.0960008,-103.122,
0.0970005,702.956,
0.0980002,-514.109,
0.0990005,271.75,
0.1,-93.3444,
0.101001,-283.383,
0.102001,294.911,
0.103,-118.816,
0.104001,66.5454,
0.105001,136.735,
0.106,-443.802,
0.107,657.403,
0.108,-215.062,
0.109001,-109.652,
0.11,-65.528,
0.111,412.998,
0.112,-132.224,
0.113001,162.656,
0.114001,-106.589,
0.115,335.625,
0.116,-429.367,
0.117001,407.512,
0.118001,-90.1189,
0.119,396.428,
0.12,40.4711,
0.121,-213.685,
0.122001,-147.59,
0.123,-57.7873,
0.124,40.1739,
0.125,-22.5637,
0.126,-221.551,
0.127001,-575.269,
0.128,-22.1263,
0.129,105.539,
0.130001,-13.9748,
0.131,-182.551,
0.132001,-279.292,
0.133,239.933,
0.134,64.5683,
0.135001,177.697,
0.136,-567.019,
0.137,248.71,
0.138001,249.047,
0.139,-103.29,
0.140001,-509.004,
0.141,-36.6897,
0.142,165.523,
0.143001,429.551,
0.144,5.89628,
0.145,199.753,
0.146001,49.7243,
0.147,155.2,
0.148001,256.686,
0.149,-228.443,
0.15,-110.226,
0.151001,25.0418,
0.152,205.575,
0.153,8.58921,
0.154001,-467.915,
0.155,0.29118,
0.156001,-334.811,
0.157,200.02,
0.158,-206.576,
0.159001,118.36,
0.16,-565.744,
0.161,485.187,
0.162001,-250.468,
0.163,-360.869,
0.164001,-6.1874,
0.165001,-172.012,
0.166,596.783,
0.167001,192.911,
0.168,-53.1388,
0.169,96.242,
0.170001,-258.479,
0.171,94.349,
0.172,-13.0322,
0.173001,-317.194,
0.174,534.713,
0.175001,-93.325,
0.176,365.436,
0.177,-353.794,
0.178001,184.254,
0.179,325.71,
0.18,215.328,
0.181001,-423.072,
0.182,320.3,
0.183001,148.654,
0.184,5.38694,
0.185,136.699,
0.186001,-96.8152,
0.187,111.226,
0.188,121.409,
0.189001,-36.9772,
0.19,-290.434,
0.191001,-171.196,
0.192,165.174,
0.193,-687.966,
0.194001,171.143,
0.195,-495.694,
0.196,262.423,
0.197001,-112.905,
0.198,15.0696,
0.199001,-137.855,
0.2,226.976,
0.201,-26.2035,
0.202001,-217.033,
0.203,-306.337,
0.204,88.8006,
0.205001,37.1889,
0.206,84.7222,
0.207001,-20.5269,
0.208,-48.1857,
0.209,-147.256,
0.210001,178.57,
0.211,110.054,
0.212,-253.028,
0.213001,336.818,
0.214,-55.9012,
0.215001,147.627,
0.216001,-190.724,
0.217,129.415,
0.218001,73.6699,
0.219,24.019,
0.22,-83.9993,
0.221001,12.0822,
0.222,-277.085,
0.223,-349.766,
0.224001,-32.4597,
0.225,-447.867,
0.226001,130.777,
0.227,-136.196,
0.228,128.82,
0.229001,322.832,
0.23,-59.7549,
0.231,465.946,
0.232001,-50.9477,
0.233,190.489,
0.234001,-356.589,
0.235,-34.0271,
0.236,-87.7491,
0.237001,-30.5004,
0.238,-379.163,
0.239,227.347,
0.240001,-168.009,
0.241,119.801,
0.242001,118.026,
0.243,-128.008,
0.244,134.847,
0.245001,3.27566,
0.246,-5.93249,
0.247,-49.464,
0.248001,-277.427,
0.249,59.9617,
0.250001,98.8759,
0.251,251.479,
0.252,110.419,
0.253001,-153.255,
0.254,-294.105,
0.255,-324.767,
0.256001,39.2801,
0.257,31.7841,
0.258001,-291.202,
0.259001,46.2619,
0.26,-192.517,
0.261001,176.968,
0.262,-196.729,
0.263,6.55146,
0.264001,292.562,
0.265,-29.8095,
0.266,242.275,
0.267001,112.731,
0.268,188.551,
0.269001,92.1608,
0.27,170.108,
0.271,-401.48,
0.272001,-4.0397,
0.273,-112.065,
0.274,-448.604,
0.275001,100.944,
0.276,-156.771,
0.277001,197.195,
0.278,-84.4773,
0.279,414.41,
0.280001,-86.5247,
0.281,100.133,
0.282,-151.747,
0.283001,88.7376,
0.284,-201.446,
0.285001,-96.4728,
0.286,-164.148,
0.287,-134.537,
0.288001,0.655118,
0.289,-39.3445,
0.29,44.5805,
0.291001,102.197,
0.292,-342.487,
0.293001,-145.293,
0.294,74.032,
0.295,-96.9573,
0.296001,412.754,
0.297,-21.7659,
0.298,87.9402,
0.299001,-106.58,
0.3,211.495,
Time(s),Acceleration(m_s2),3_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161084
0,-9.31477,
0.00100059,-9.31477,
0.0020004,-9.31477,
0.00300008,-10.4791,
0.00400059,-9.31479,
0.00500027,0,
0.00600079,27.9487,
0.00700047,253.913,
0.00800003,257.401,
0.00900083,451.911,
0.0100008,373.338,
0.0110008,223.647,
0.0120007,183.452,
0.0130007,7.5692,
0.0140004,145.546,
0.0150006,-146.107,
0.0160004,-144.929,
0.0170004,34.9178,
0.0180004,-365.504,
0.0190003,-392.265,
0.0200003,-329.391,
0.0210002,-115.241,
0.0220002,-245.662,
0.0230002,-180.473,
0.0240001,-68.7021,
0.0250001,238.738,
0.026,110.643,
0.027,20.9644,
0.0280008,314.448,
0.0290008,43.0957,
0.0300007,51.2465,
0.0310007,-72.2143,
0.0320006,4.65846,
0.0330006,286.471,
0.0340006,122.275,
0.0350005,-134.494,
0.0360005,229.378,
0.0370005,250.899,
0.0380004,353.35,
0.0390004,-151.926,
0.0400003,-137.956,
0.0410003,-37.8365,
0.0420003,115.836,
0.0430002,-77.9944,
0.0440002,146.1,
0.0450001,-240.98,
0.0460001,454.596,
0.0470001,179.869,
0.048,2.32828,
0.0490008,-91.387,
0.0500008,-90.2113,
0.0510007,138.514,
0.0520007,-327.633,
0.0530007,-282.798,
0.0540006,-164.652,
0.0550006,-17.4527,
0.0560006,-58.7545,
0.0570005,475.271,
0.0580005,65.1651,
0.0590004,354.471,
0.0600004,113.509,
0.0610004,320.78,
0.0620003,716.162,
0.0630008,-48.3424,
0.0640005,-315.148,
0.0650005,576.788,
0.0660002,-308.215,
0.0670007,364.755,
0.0680004,397.381,
0.0690001,-40.7912,
0.0700006,489.507,
0.0710003,43.7049,
0.072,268.071,
0.0730005,472.005,
0.0740002,824.848,
0.0750008,616.504,
0.0760004,1065.44,
0.0770001,-287.12,
0.0780007,730.594,
0.0790003,67.5879,
0.08,97.1508,
0.0810006,195.767,
0.0820002,259.546,
0.0830008,780.645,
0.0840007,-728.405,
0.0850001,501.94,
0.0860002,395.278,
0.0870008,86.2476,
0.0880004,552.373,
0.0890002,375.741,
0.0900004,-138.198,
0.0910005,-479.614,
0.0920007,303.402,
0.0930001,-334.598,
0.0940001,202.777,
0.0950003,-133.993,
0.0960008,-294.438,
0.0970005,269.37,
0.0980002,161.369,
0.0990005,376.897,
0.1,-172.272,
0.101001,343.525,
0.102001,259.522,
0.103,695.131,
0.104001,468.585,
0.105001,-288.906,
0.106,-193.945,
0.107,-381.483,
0.108,121.728,
0.109001,-131.932,
0.11,-213.184,
0.111,-459.599,
0.112,-612.044,
0.113001,-324.729,
0.114001,-14.1245,
0.115,247.023,
0.116,509.882,
0.117001,245.614,
0.118001,213.578,
0.119,-226.239,
0.12,91.5694,
0.121,-35.0805,
0.122001,357.767,
0.123,-437.408,
0.124,-285.875,
0.125,-144.117,
0.126,-13.5376,
0.127001,-595.648,
0.128,149.571,
0.129,198.122,
0.130001,-49.9307,
0.131,-268.004,
0.132001,-131.748,
0.133,485.253,
0.134,499.658,
0.135001,89.1034,
0.136,118.805,
0.137,-253.296,
0.138001,124.487,
0.139,-27.9517,
0.140001,-393.546,
0.141,-249.985,
0.142,-111.95,
0.143001,426.857,
0.144,-556.871,
0.145,-110.432,
0.146001,19.0743,
0.147,-214.529,
0.148001,840.089,
0.149,-27.6636,
0.15,166.286,
0.151001,-17.471,
0.152,58.5276,
0.153,-101.615,
0.154001,79.7815,
0.155,-665.056,
0.156001,344.492,
0.157,-693.375,
0.158,36.5402,
0.159001,-619.915,
0.16,317.667,
0.161,-12.2662,
0.162001,529.688,
0.163,246.621,
0.164001,251.136,
0.165001,-198.291,
0.166,541.895,
0.167001,-203.976,
0.168,-298.305,
0.169,316.827,
0.170001,158.829,
0.171,-280.717,
0.172,-161.192,
0.173001,-328.478,
0.174,614.283,
0.175001,-297.737,
0.176,4.22216,
0.177,-827.995,
0.178001,-19.5101,
0.179,194.96,
0.18,86.0437,
0.181001,104.967,
0.182,-106.136,
0.183001,716.553,
0.184,89.9764,
0.185,7.27897,
0.186001,-165.678,
0.187,-108.897,
0.188,-198.273,
0.189001,-122.359,
0.19,-177.39,
0.191001,-387.157,
0.192,147.485,
0.193,191.154,
0.194001,-189.633,
0.195,-62.171,
0.196,-18.1985,
0.197001,145.88,
0.198,114.879,
0.199001,-112.38,
0.2,399.728,
0.201,-23.5832,
0.202001,67.9776,
0.203,-539.747,
0.204,-76.1356,
0.205001,-556.669,
0.206,162.384,
0.207001,168.655,
0.208,-98.6279,
0.209,-41.2724,
0.210001,125.574,
0.211,-110.126,
0.212,-156.869,
0.213001,151.048,
0.214,-134.949,
0.215001,3.8217,
0.216001,-99.0017,
0.217,-206.06,
0.218001,413.92,
0.219,-126.136,
0.22,330.028,
0.221001,-114.417,
0.222,10.3352,
0.223,-220.21,
0.224001,-254.765,
0.225,461.114,
0.226001,-179.793,
0.227,506.899,
0.228,213.42,
0.229001,-12.5188,
0.23,49.4925,
0.231,-639.798,
0.232001,58.0803,
0.233,12.083,
0.234001,-99.0648,
0.235,-10.7722,
0.236,81.9622,
0.237001,71.192,
0.238,-145.445,
0.239,-67.6963,
0.240001,-193.56,
0.241,15.9419,
0.242001,230.592,
0.243,-509.92,
0.244,-13.7395,
0.245001,-159.106,
0.246,-80.1433,
0.247,534.605,
0.248001,-41.9251,
0.249,-337.641,
0.250001,-100.368,
0.251,153.289,
0.252,-121.428,
0.253001,185.155,
0.254,136.024,
0.255,267.202,
0.256001,147.84,
0.257,207.393,
0.258001,-210.659,
0.259001,-116.983,
0.26,105.777,
0.261001,203.321,
0.262,196.984,
0.263,-75.7785,
0.264001,-204.845,
0.265,119.311,
0.266,-55.179,
0.267001,-171.927,
0.268,29.3325,
0.269001,-133.437,
0.27,-187.396,
0.271,117.922,
0.272001,-101.247,
0.273,114.103,
0.274,227.658,
0.275001,-235.888,
0.276,-416.952,
0.277001,-13.8408,
0.278,-303.078,
0.279,59.7306,
0.280001,-78.1161,
0.281,-87.83,
0.282,109.481,
0.283001,332.884,
0.284,-235.541,
0.285001,249.194,
0.286,-139.924,
0.287,168.194,
0.288001,-105.256,
0.289,24.6768,
0.29,-18.0688,
0.291001,223.337,
0.292,199.465,
0.293001,-107.259,
0.294,-57.9262,
0.295,-1.32843,
0.296001,-126.229,
0.297,-297.907,
0.298,88.832,
0.299001,-173.228,
0.3,-154.659,
Time(s),Acceleration(m_s2),4_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161197
0,-9.31477,
0.00100059,-10.4791,
0.0020004,-9.31477,
0.00300008,-9.31479,
0.00400059,-11.6435,
0.00500027,-285.277,
0.00600079,201.464,
0.00700047,-594.016,
0.00800003,-173.542,
0.00900083,-99.0012,
0.0100008,-372.756,
0.0110008,-51.2524,
0.0120007,-152.585,
0.0130007,177.003,
0.0140004,147.875,
0.0150006,279.407,
0.0160004,480.768,
0.0170004,124.54,
0.0180004,580.848,
0.0190003,126.875,
0.0200003,429.489,
0.0210002,214.185,
0.0220002,360.925,
0.0230002,270.709,
0.0240001,110.04,
0.0250001,58.2288,
0.026,-252.732,
0.027,98.9986,
0.0280008,-239.33,
0.0290008,-186.36,
0.0300007,-280.691,
0.0310007,109.486,
0.0320006,-122.285,
0.0330006,288.8,
0.0340006,-79.1876,
0.0350005,199.12,
0.0360005,233.454,
0.0370005,35.51,
0.0380004,266.613,
0.0390004,206.06,
0.0400003,384.762,
0.0410003,266.02,
0.0420003,68.1044,
0.0430002,505.218,
0.0440002,22.1187,
0.0450001,253.204,
0.0460001,-376.017,
0.0470001,97.2109,
0.048,139.115,
0.0490008,123.402,
0.0500008,247.353,
0.0510007,182.164,
0.0520007,249.071,
0.0530007,441.071,
0.0540006,9.30896,
0.0550006,-329.857,
0.0560006,65.1535,
0.0570005,-6.39899,
0.0580005,222.841,
0.0590004,-149.006,
0.0600004,125.151,
0.0610004,266.638,
0.0620003,841.345,
0.0630008,67.5629,
0.0640005,936.414,
0.0650005,-236.541,
0.0660002,-329.772,
0.0670007,391.267,
0.0680004,-360.09,
0.0690001,355.175,
0.0700006,289.334,
0.0710003,-81.2911,
0.072,215.623,
0.0730005,47.7833,
0.0740002,586.805,
0.0750008,183.844,
0.0760004,-264.538,
0.0770001,-228.706,
0.0780007,-344.683,
0.0790003,-321.043,
0.08,-352.772,
0.0810006,220.82,
0.0820002,627.164,
0.0830008,-676.168,
0.0840007,720.595,
0.0850001,-330.033,
0.0860002,509.439,
0.0870008,520.471,
0.0880004,241.454,
0.0890002,859.835,
0.0900004,35.5323,
0.0910005,147.226,
0.0920007,160.62,
0.0930001,-732.402,
0.0940001,598.319,
0.0950003,5.09758,
0.0960008,27.4556,
0.0970005,2.03903,
0.0980002,66.5574,
0.0990005,-53.2286,
0.1,597.565,
0.101001,49.1023,
0.102001,657.252,
0.103,725.709,
0.104001,307.245,
0.105001,222.213,
0.106,316.835,
0.107,-481.076,
0.108,295.437,
0.109001,82.421,
0.11,-462.482,
0.111,-233.877,
0.112,-198.554,
0.113001,103.389,
0.114001,92.3191,
0.115,-387.17,
0.116,12.5942,
0.117001,-69.5201,
0.118001,239.492,
0.119,212.991,
0.12,-333.013,
0.121,-49.2,
0.122001,450.921,
0.123,491.556,
0.124,241.917,
0.125,-248.201,
0.126,-129.553,
0.127001,374.828,
0.128,-5.96829,
0.129,-58.0828,
0.130001,-425.794,
0.131,166.684,
0.132001,-30.717,
0.133,165.245,
0.134,222.895,
0.135001,32.7586,
0.136,711.376,
0.137,286.778,
0.138001,-269.649,
0.139,-305.14,
0.140001,-40.3301,
0.141,392.231,
0.142,-63.4724,
0.143001,-20.382,
0.144,-269.628,
0.145,88.9569,
0.146001,-309.266,
0.147,69.447,
0.148001,-290.464,
0.149,218.251,
0.15,-541.52,
0.151001,-386.328,
0.152,-103.952,
0.153,38.1419,
0.154001,180.964,
0.155,178.639,
0.156001,25.1836,
0.157,-113.403,
0.158,100.303,
0.159001,-120.252,
0.16,274.283,
0.161,-219.845,
0.162001,-59.3961,
0.163,328.149,
0.164001,-188.534,
0.165001,-7.71616,
0.166,-80.6582,
0.167001,74.5436,
0.168,16.3056,
0.169,-136.865,
0.170001,-349.467,
0.171,-256.111,
0.172,253.182,
0.173001,103.887,
0.174,-131.476,
0.175001,-181.918,
0.176,-106.864,
0.177,674.466,
0.178001,-135.115,
0.179,-680.249,
0.18,52.4852,
0.181001,-372.039,
0.182,92.432,
0.183001,-353.426,
0.184,118.986,
0.185,-29.3343,
0.186001,331.392,
0.187,-88.406,
0.188,21.9999,
0.189001,172.53,
0.19,104.609,
0.191001,383.136,
0.192,-201.718,
0.193,238.033,
0.194001,598.018,
0.195,317.698,
0.196,144.278,
0.197001,374.164,
0.198,8.73602,
0.199001,-355.336,
0.2,-389.392,
0.201,-362.045,
0.202001,-279.189,
0.203,346.294,
0.204,-185.098,
0.205001,104.434,
0.206,146.008,
0.207001,186.562,
0.208,58.3761,
0.209,-43.6745,
0.210001,-343.09,
0.211,410.081,
0.212,-245.822,
0.213001,96.9617,
0.214,55.1734,
0.215001,-324.881,
0.216001,-334.567,
0.217,129.852,
0.218001,-228.653,
0.219,-390.268,
0.22,36.3402,
0.221001,31.1063,
0.222,128.298,
0.223,62.9222,
0.224001,192.393,
0.225,-92.0699,
0.226001,624.98,
0.227,160.426,
0.228,-385.932,
0.229001,448.639,
0.23,-278.905,
0.231,338.751,
0.232001,-354.596,
0.233,-359.286,
0.234001,-94.4791,
0.235,-266.83,
0.236,-302.772,
0.237001,-249.149,
0.238,-31.4657,
0.239,-264.78,
0.240001,184.351,
0.241,97.4347,
0.242001,139.662,
0.243,-65.7146,
0.244,46.6415,
0.245001,-152.737,
0.246,-32.7743,
0.247,-399.193,
0.248001,82.9768,
0.249,-223.505,
0.250001,-160.407,
0.251,17.1777,
0.252,-159.405,
0.253001,-5.89584,
0.254,364.137,
0.255,-264.982,
0.256001,-24.3852,
0.257,279.314,
0.258001,-23.2387,
0.259001,83.8974,
0.26,224.615,
0.261001,-54.6884,
0.262,556.629,
0.263,-379.475,
0.264001,86.4439,
0.265,-558.281,
0.266,287.124,
0.267001,-222.387,
0.268,-201.106,
0.269001,50.7758,
0.27,-365.984,
0.271,173.17,
0.272001,-279.139,
0.273,-99.5083,
0.274,-127.917,
0.275001,13.1049,
0.276,16.8892,
0.277001,114.576,
0.278,218.309,
0.279,-114.329,
0.280001,284.764,
0.281,181.193,
0.282,219.388,
0.283001,-144.872,
0.284,-239.235,
0.285001,256.114,
0.286,-245.913,
0.287,239.576,
0.288001,207.627,
0.289,197.814,
0.29,83.1927,
0.291001,217.422,
0.292,-183.708,
0.293001,241.234,
0.294,-129.429,
0.295,119.45,
0.296001,-396.739,
0.297,-109.558,
0.298,120.135,
